Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,ParkingArea,Price
Airport West,154 Halsey Rd,3,t,PI,Nelson,3/9/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225,2016.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0,Detached Garage,840000.0
Albert Park,105 Kerferd Rd,2,h,S,hockingstuart,3/9/2016,3.3,3206.0,2.0,1.0,0.0,120.0,82,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,Attached Garage,1275000.0
Alphington,6 Smith St,4,h,S,Brace,3/9/2016,6.4,3078.0,3.0,2.0,4.0,853.0,263,1930.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211.0,Underground,2000000.0
Alphington,5/6 Yarralea St,3,h,S,Jellis,3/9/2016,6.4,3078.0,3.0,2.0,2.0,208.0,inf,2013.0,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211.0,Outdoor Stall,1110000.0
Altona,158 Queen St,3,h,VB,Greg,3/9/2016,13.8,3018.0,3.0,2.0,1.0,352.0,242,2015.0,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301.0,Parking Pad,520000.0
Altona North,45 Hearn St,5,h,S,FN,3/9/2016,11.1,3025.0,5.0,3.0,6.0,592.0,251,1965.0,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132.0,Detached Garage,1085000.0
Ashburton,61 Dent St,4,h,S,Marshall,3/9/2016,11.0,3147.0,4.0,3.0,2.0,753.0,399,2015.0,Boroondara City Council,-37.8669,145.0767,Southern Metropolitan,3052.0,Attached Garage,2650000.0
Ashwood,18 Teck St,2,h,S,Tim,3/9/2016,12.2,3147.0,2.0,1.0,1.0,583.0,inf,1950.0,Monash City Council,-37.8693,145.1082,Southern Metropolitan,2894.0,Carport,995000.0
Avondale Heights,8 Norma Ct,3,h,S,Moonee,3/9/2016,10.5,3034.0,3.0,1.0,1.0,593.0,118,1970.0,Moonee Valley City Council,-37.7677,144.8674,Western Metropolitan,4502.0,Attached Garage,850000.0
Avondale Heights,9 Rogerson St,3,h,SP,Moonee,3/9/2016,10.5,3034.0,3.0,1.0,1.0,0.0,103,1980.0,Moonee Valley City Council,-37.7634,144.8611,Western Metropolitan,4502.0,Indoor,750000.0
Balaclava,18 Linton St,4,h,S,Gary,3/9/2016,6.6,3183.0,3.0,2.0,1.0,244.0,180,1900.0,Port Phillip City Council,-37.8668,144.9928,Southern Metropolitan,2952.0,Parkade,1819000.0
Balwyn,166 Gordon St,2,h,S,Marshall,3/9/2016,9.7,3103.0,2.0,1.0,1.0,659.0,123,1920.0,Boroondara City Council,-37.8094,145.0807,Southern Metropolitan,5682.0,Outdoor Stall,2100000.0
Balwyn,36 Narrak Rd,4,h,VB,Marshall,3/9/2016,9.7,3103.0,4.0,2.0,2.0,715.0,218,1985.0,Boroondara City Council,-37.811,145.0958,Southern Metropolitan,5682.0,Carport,1800000.0
