Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Moonee Ponds,25 Mantell St,4,h,S,Rendina,10/9/2016,6.9,3039.0,4.0,4.0,2.0,636.0,308,1900.0,Moonee Valley City Council,-37.7629,144.9157,Western Metropolitan,6232.0,Attached Garage,2400000.0
Coburg,87 Phillips St,3,h,S,McDonald,3/9/2017,6.7,3058.0,3.0,1.0,4.0,460.0,141,1920.0,Darebin City Council,-37.74513,144.95458,Northern Metropolitan,11204.0,Outdoor Stall,1210000.0
Wollert,101 Eaststone Av,4,h,SP,hockingstuart,3/3/2018,25.5,3750.0,4.0,3.0,2.0,476.0,207,2014.0,Whittlesea City Council,-37.61722,145.00067,Northern Metropolitan,2940.0,Detached Garage,745000.0
Oak Park,96 Winifred St,3,h,S,Brad,16/07/2016,11.5,3046.0,3.0,2.0,2.0,790.0,165,1940.0,Moreland City Council,-37.718,144.9124,Northern Metropolitan,2651.0,Detached Garage,815500.0
Brunswick,2/18 De Carle St,2,t,S,Nelson,24/09/2016,5.2,3056.0,2.0,2.0,1.0,177.0,105,2000.0,Moreland City Council,-37.7625,144.9653,Northern Metropolitan,11918.0,Parkade,754000.0
Oak Park,126A Winifred St,3,h,SP,Eview,8/4/2017,11.5,3046.0,3.0,2.0,1.0,341.0,170,2003.0,Moreland City Council,-37.7166,144.9104,Northern Metropolitan,2651.0,Attached Garage,755000.0
Malvern East,11 Findon St,2,h,S,Biggin,3/12/2016,11.2,3145.0,2.0,1.0,1.0,310.0,102,1910.0,Stonnington City Council,-37.8717,145.0399,Southern Metropolitan,8801.0,Detached Garage,1036000.0
Strathmore,6 Prefect St,4,h,S,Paul,18/06/2016,9.7,3041.0,4.0,3.0,2.0,650.0,348,2001.0,Moonee Valley City Council,-37.7363,144.9208,Western Metropolitan,3284.0,Attached Garage,1715000.0
Craigieburn,29 Somersby Rd,3,h,S,Ray,17/03/2018,20.6,3064.0,3.0,2.0,2.0,448.0,166,2011.0,Hume City Council,-37.58168,144.92127,Northern Metropolitan,15510.0,Attached Garage,590000.0
Essendon,5A Roberts St,3,h,PI,McDonald,17/03/2018,7.5,3040.0,3.0,3.0,2.0,719.0,292,2010.0,Moonee Valley City Council,-37.75396,144.89796,Western Metropolitan,9264.0,Carport,2100000.0
Fitzroy,101/416 Gore St,2,u,S,Nelson,26/07/2016,1.6,3065.0,2.0,1.0,1.0,0.0,74,1900.0,Yarra City Council,-37.7967,144.9836,Northern Metropolitan,5825.0,Underground,715000.0
Coburg,3/117 Gordon St,3,t,S,Nelson,27/11/2016,7.8,3058.0,3.0,1.0,1.0,116.0,140,1995.0,Darebin City Council,-37.7454,144.9487,Northern Metropolitan,11204.0,Underground,687000.0
Gowanbrae,42 Seggan Cir,3,h,S,Nelson,16/04/2016,13.6,3043.0,3.0,2.0,1.0,175.0,134,2004.0,Moreland City Council,-37.7076,144.8961,Western Metropolitan,1071.0,Carport,485000.0
Broadmeadows,65 Graham St,3,h,S,Eview,10/3/2018,14.0,3047.0,3.0,1.0,4.0,632.0,90,1970.0,Hume City Council,-37.69193,144.92779,Northern Metropolitan,4294.0,Attached Garage,698000.0
West Melbourne,2/212 Roden St,2,t,S,Jellis,8/10/2016,1.9,3003.0,2.0,1.0,1.0,0.0,154,2009.0,Melbourne City Council,-37.8094,144.9452,Northern Metropolitan,2230.0,Indoor,1055000.0
Newport,259 Douglas Pde,3,h,S,Greg,21/10/2017,6.2,3015.0,3.0,1.0,2.0,372.0,157,1915.0,Hobsons Bay City Council,-37.84776,144.89223,Western Metropolitan,5498.0,Attached Garage,1189000.0
Kealba,46 Bundeena Av,4,h,SP,Brad,3/3/2018,14.0,3021.0,4.0,2.0,2.0,526.0,186,1990.0,Brimbank City Council,-37.73152,144.82612,Western Metropolitan,1202.0,Carport,800000.0
Balaclava,3/20 Orange Gr,2,u,S,Chisholm,18/06/2016,6.6,3183.0,2.0,1.0,1.0,0.0,49,1960.0,Port Phillip City Council,-37.8678,144.9966,Southern Metropolitan,2952.0,Attached Garage,416000.0
Chadstone,1/19 Warrina St,4,t,SP,Buxton,17/09/2016,13.6,3148.0,4.0,3.0,2.0,273.0,182,2012.0,Monash City Council,-37.8742,145.105,Southern Metropolitan,3582.0,Attached Garage,965000.0
Fawkner,1/26 Tucker St,3,t,S,Ray,28/08/2016,12.4,3060.0,3.0,1.0,1.0,208.0,107,2011.0,Hume City Council,-37.7092,144.9695,Northern Metropolitan,5070.0,Parkade,492000.0
Yallambie,21 Lowan Av,5,h,S,Buckingham,11/11/2017,12.7,3085.0,5.0,3.0,2.0,510.0,0,1985.0,Banyule City Council,-37.7204,145.1088,Northern Metropolitan,1369.0,Indoor,990000.0
North Melbourne,203/150 Peel St,2,u,S,Alexkarbon,27/11/2016,2.3,3051.0,2.0,1.0,1.0,0.0,85,2005.0,Melbourne City Council,-37.8044,144.9566,Northern Metropolitan,6821.0,Carport,598000.0
Dallas,13 Murtoa St,3,h,S,YPA,18/11/2017,14.0,3047.0,3.0,1.0,1.0,614.0,110,1965.0,Hume City Council,-37.6754,144.934,Northern Metropolitan,2246.0,Underground,505500.0
Caulfield South,1/2 Griffiths St,4,t,VB,Gary,10/12/2016,9.3,3162.0,4.0,2.0,2.0,216.0,165,1995.0,Glen Eira City Council,-37.8887,145.0318,Southern Metropolitan,5051.0,Parkade,1030000.0
South Yarra,30 Palermo St,4,h,S,Thomson,17/02/2018,2.7,3141.0,4.0,1.0,1.0,436.0,139,1905.0,Melbourne City Council,-37.84197,144.99698,Southern Metropolitan,14887.0,Underground,3030000.0
Prahran,12/67 High St,2,u,VB,Jellis,16/04/2016,4.5,3181.0,2.0,1.0,1.0,0.0,76,1888.0,Stonnington City Council,-37.851,144.988,Southern Metropolitan,7717.0,Indoor,530000.0
Glen Iris,33 Rosedale Rd,5,h,S,Marshall,18/03/2017,9.2,3146.0,5.0,3.0,3.0,778.0,326,2000.0,Boroondara City Council,-37.8582,145.0715,Southern Metropolitan,10412.0,Indoor,3085000.0
Windsor,6/10 Wrexham Rd,1,u,S,Marshall,11/2/2017,5.1,3181.0,1.0,1.0,1.0,0.0,46,1974.0,Port Phillip City Council,-37.8568,145.0004,Southern Metropolitan,4380.0,Attached Garage,452000.0
Sandringham,49 Sims St,4,h,S,Buxton,9/12/2017,15.2,3191.0,4.0,2.0,2.0,589.0,20,1917.0,Bayside City Council,-37.95333,145.01048,Southern Metropolitan,4497.0,Carport,2200000.0
Murrumbeena,17 Howe St,3,h,S,Woodards,12/11/2016,12.1,3163.0,3.0,2.0,2.0,834.0,168,1954.0,Glen Eira City Council,-37.8959,145.0736,Southern Metropolitan,4442.0,Carport,1370000.0
Werribee,9 Noelhurst Ct,4,h,VB,Ray,17/02/2018,14.7,3030.0,4.0,2.0,3.0,1000.0,201,1990.0,Wyndham City Council,-37.91212,144.63242,Western Metropolitan,16166.0,Carport,720000.0
